ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0042026	protein refolding	3/59	40/18670	0.000272536358571607	0.00472458062338315	0.00305572004002353	HSPA8/ST13/FKBP1A	3
BP	GO:0034976	response to endoplasmic reticulum stress	6/59	285/18670	0.0002743565178395	0.00472458062338315	0.00305572004002353	BAX/ATF4/P4HB/ATF6/CANX/MBTPS2	6
BP	GO:0006458	'de novo' protein folding	3/59	41/18670	0.000293393458446273	0.00501552904876768	0.00324389693971715	HSPA8/ST13/FKBP1A	3
BP	GO:1903146	regulation of autophagy of mitochondrion	3/59	42/18670	0.000315254240098893	0.00535018427762034	0.0034603421167224	HDAC6/TSC2/HIF1A	3
BP	GO:0060759	regulation of response to cytokine stimulus	5/59	190/18670	0.00033211562497849	0.0055957898827311	0.00361919261146571	IKBKB/SPHK1/HIF1A/HSP90AB1/TBK1	5
BP	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	3/59	43/18670	0.000338139056434251	0.00561132348282263	0.0036292392879598	PARP1/P4HB/HIF1A	3
BP	GO:0033138	positive regulation of peptidyl-serine phosphorylation	4/59	105/18670	0.000338942421695989	0.00561132348282263	0.0036292392879598	HDAC6/RAF1/HSP90AB1/TBK1	4
BP	GO:0051054	positive regulation of DNA metabolic process	5/59	191/18670	0.000340225420393174	0.00561132348282263	0.0036292392879598	BAX/PARP1/MAP2K7/HSP90AB1/MAPK3	5
BP	GO:0090068	positive regulation of cell cycle process	6/59	298/18670	0.00034820018313552	0.0057026911112125	0.00368833318757462	BAX/BECN1/TP73/CDKN1B/SPHK1/RAB11A	6
BP	GO:0007080	mitotic metaphase plate congression	3/59	44/18670	0.000362068048494098	0.0058480232384357	0.00378232974071148	BECN1/CHMP4B/RAB11A	3
BP	GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	3/59	44/18670	0.000362068048494098	0.0058480232384357	0.00378232974071148	BAX/MAPK8/TP73	3
BP	GO:2000377	regulation of reactive oxygen species metabolic process	5/59	195/18670	0.000374175396710121	0.00600218341845961	0.00388203601922036	BECN1/HDAC6/FOXO1/HIF1A/HSP90AB1	5
BP	GO:0071156	regulation of cell cycle arrest	4/59	108/18670	0.000377321698050029	0.00601147902607598	0.00388804814532039	BAX/TP73/CDKN1B/HSP90AB1	4
BP	GO:0051204	protein insertion into mitochondrial membrane	3/59	45/18670	0.000387061146764641	0.00612498111974857	0.00396145796724266	BAX/MAPK8/TP73	3
BP	GO:0043254	regulation of protein-containing complex assembly	7/59	429/18670	0.000392080706070433	0.00615098769277839	0.00397827825516118	BAX/HDAC6/PARP1/RAF1/CDKN1B/HSPA8/MAPK9	7
BP	GO:0045088	regulation of innate immune response	6/59	305/18670	0.000393957367171972	0.00615098769277839	0.00397827825516118	NFKB1/RAF1/IKBKB/LAMP1/HSP90AB1/TBK1	6
BP	GO:0048608	reproductive structure development	7/59	431/18670	0.000403172996851458	0.00625318648096764	0.00404437743094631	BAX/ARNT/CDKN1B/STK11/HIF1A/HSP90AB1/MAPK3	7
BP	GO:0051090	regulation of DNA-binding transcription factor activity	7/59	432/18670	0.000408812803086261	0.00629894463702646	0.00407397246288871	MAPK8/NFKB1/IKBKB/SPHK1/MBTPS2/MAPK3/MAPK9	7
BP	GO:0006984	ER-nucleus signaling pathway	3/59	46/18670	0.000413138072477589	0.0063239827826308	0.00409016640038012	ATF4/ATF6/MBTPS2	3
BP	GO:0061458	reproductive system development	7/59	434/18670	0.00042028231542555	0.00639156612160155	0.00413387731987264	BAX/ARNT/CDKN1B/STK11/HIF1A/HSP90AB1/MAPK3	7
BP	GO:0036500	ATF6-mediated unfolded protein response	2/59	10/18670	0.0004346633098232	0.00648395841787219	0.00419363394458991	ATF6/MBTPS2	2
BP	GO:0048102	autophagic cell death	2/59	10/18670	0.0004346633098232	0.00648395841787219	0.00419363394458991	CDKN1B/LAMP1	2
BP	GO:0060768	regulation of epithelial cell proliferation involved in prostate gland development	2/59	10/18670	0.0004346633098232	0.00648395841787219	0.00419363394458991	CDKN1B/STK11	2
BP	GO:0070849	response to epidermal growth factor	3/59	47/18670	0.000440318338904766	0.00648569528122618	0.00419475729681535	BECN1/ERBB2/MAPK3	3
BP	GO:0090151	establishment of protein localization to mitochondrial membrane	3/59	47/18670	0.000440318338904766	0.00648569528122618	0.00419475729681535	BAX/MAPK8/TP73	3
BP	GO:0051972	regulation of telomerase activity	3/59	48/18670	0.000468621252646329	0.00685944358561064	0.00443648672735571	MAP2K7/HSP90AB1/MAPK3	3
BP	GO:0043666	regulation of phosphoprotein phosphatase activity	4/59	117/18670	0.000511079646764502	0.00743446293616437	0.00480839236151761	TSC1/IKBKB/FKBP1A/HSP90AB1	4
BP	GO:0009612	response to mechanical stimulus	5/59	210/18670	0.000524777273647192	0.00757116637646437	0.0048968081332789	MAPK8/NFKB1/RAF1/MAPK3/MAPK9	5
BP	GO:0046886	positive regulation of hormone biosynthetic process	2/59	11/18670	0.000530175613040203	0.00757116637646437	0.0048968081332789	ARNT/HIF1A	2
BP	GO:0060767	epithelial cell proliferation involved in prostate gland development	2/59	11/18670	0.000530175613040203	0.00757116637646437	0.0048968081332789	CDKN1B/STK11	2
BP	GO:0045089	positive regulation of innate immune response	5/59	214/18670	0.000571703152500547	0.00811471989791685	0.00524836259297153	NFKB1/RAF1/IKBKB/LAMP1/TBK1	5
BP	GO:0019058	viral life cycle	6/59	328/18670	0.000578276232595444	0.00815857190806343	0.0052767247856997	ATG16L2/CHMP4B/ITGB1/LAMP1/P4HB/HSP90AB1	6
BP	GO:0043393	regulation of protein binding	5/59	217/18670	0.000608917680919644	0.00853943238750782	0.00552305416226516	BAX/MAPK8/FKBP1A/HSP90AB1/MAPK3	5
BP	GO:0032886	regulation of microtubule-based process	5/59	218/18670	0.000621717988177916	0.008667044811385	0.0056055901315039	ERBB2/HDAC6/CDKN1B/CHMP4B/LAMP1	5
BP	GO:0001819	positive regulation of cytokine production	7/59	464/18670	0.000625545850063136	0.00866880698726547	0.00560672985512833	ARNT/NFKB1/ATF4/SPHK1/HIF1A/TBK1/MAPK3	7
BP	GO:0034497	protein localization to phagophore assembly site	2/59	12/18670	0.000634918195755618	0.0087469318497627	0.00565725872255316	WDR45/ATG9B	2
BP	GO:0007409	axonogenesis	7/59	468/18670	0.00065807763764326	0.00901296975064628	0.00582932422633826	ERBB2/HDAC6/ITGB1/STK11/HSP90AB1/MAPK3/RAB11A	7
BP	GO:0097345	mitochondrial outer membrane permeabilization	3/59	54/18670	0.000663069779371947	0.00902854315865756	0.00583939664942615	BAX/MAPK8/TP73	3
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	7/59	473/18670	0.000700621993128312	0.00943021096497993	0.00609918359414181	BAX/NFKB1/RAF1/IKBKB/STK11/HSP90AB1/MAPK3	7
BP	GO:0002757	immune response-activating signal transduction	7/59	473/18670	0.000700621993128312	0.00943021096497993	0.00609918359414181	BAX/NFKB1/RAF1/IKBKB/STK11/HSP90AB1/MAPK3	7
BP	GO:0050769	positive regulation of neurogenesis	7/59	474/18670	0.000709387575495914	0.00949363258177961	0.00614020283391651	EEF2K/TP73/STK11/ARSB/HIF1A/PTK6/RAB11A	7
BP	GO:1903202	negative regulation of oxidative stress-induced cell death	3/59	56/18670	0.000737709465644894	0.00968932957022998	0.00626677390065214	TSC1/ATF4/HIF1A	3
BP	GO:0071482	cellular response to light stimulus	4/59	129/18670	0.000737906371805031	0.00968932957022998	0.00626677390065214	BAX/PARP1/ATF4/STK11	4
BP	GO:0007183	SMAD protein complex assembly	2/59	13/18670	0.000748833754146724	0.00968932957022998	0.00626677390065214	PARP1/FKBP1A	2
BP	GO:0010870	positive regulation of receptor biosynthetic process	2/59	13/18670	0.000748833754146724	0.00968932957022998	0.00626677390065214	HDAC6/HIF1A	2
BP	GO:1900103	positive regulation of endoplasmic reticulum unfolded protein response	2/59	13/18670	0.000748833754146724	0.00968932957022998	0.00626677390065214	BAX/ATF6	2
BP	GO:1902902	negative regulation of autophagosome assembly	2/59	13/18670	0.000748833754146724	0.00968932957022998	0.00626677390065214	BECN1/CHMP4B	2
BP	GO:0051310	metaphase plate congression	3/59	57/18670	0.000776951530911173	0.00994328134095064	0.00643102245028	BECN1/CHMP4B/RAB11A	3
BP	GO:1900408	negative regulation of cellular response to oxidative stress	3/59	57/18670	0.000776951530911173	0.00994328134095064	0.00643102245028	TSC1/ATF4/HIF1A	3
BP	GO:2001234	negative regulation of apoptotic signaling pathway	5/59	230/18670	0.000791592996103107	0.0100756021569211	0.00651660366929274	BAX/RAF1/HIF1A/PEA15/MAPK8IP1	5
BP	GO:1903320	regulation of protein modification by small protein conjugation or removal	5/59	231/18670	0.000807167940311975	0.0102183098173548	0.00660890279436092	ARNT/SPHK1/FKBP1A/HSP90AB1/MAPK9	5
BP	GO:0043312	neutrophil degranulation	7/59	485/18670	0.000811689304910739	0.0102203029682847	0.00661019190586618	RAB24/NFKB1/HSPA8/GAA/LAMP1/ARSB/HSP90AB1	7
BP	GO:0002283	neutrophil activation involved in immune response	7/59	488/18670	0.000841527364502789	0.0105393427147889	0.00681653744733753	RAB24/NFKB1/HSPA8/GAA/LAMP1/ARSB/HSP90AB1	7
BP	GO:0048588	developmental cell growth	5/59	234/18670	0.000855269445656783	0.0105928247519401	0.00685112805880793	HDAC6/ITGB1/STK11/HSP90AB1/RAB11A	5
BP	GO:0061077	chaperone-mediated protein folding	3/59	59/18670	0.000859366653658673	0.0105928247519401	0.00685112805880793	HSPA8/ST13/FKBP1A	3
BP	GO:1902883	negative regulation of response to oxidative stress	3/59	59/18670	0.000859366653658673	0.0105928247519401	0.00685112805880793	TSC1/ATF4/HIF1A	3
BP	GO:0060560	developmental growth involved in morphogenesis	5/59	235/18670	0.000871769253434786	0.0106677593960484	0.00689959358663926	HDAC6/ITGB1/STK11/HSP90AB1/RAB11A	5
BP	GO:1903322	positive regulation of protein modification by small protein conjugation or removal	4/59	135/18670	0.000874555851426685	0.0106677593960484	0.00689959358663926	ARNT/SPHK1/FKBP1A/MAPK9	4
BP	GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	3/59	60/18670	0.000902573752300302	0.0109524752740275	0.00708373945765004	BAX/MAPK8/TP73	3
BP	GO:0034605	cellular response to heat	4/59	137/18670	0.000923819947367732	0.0111184013429618	0.00719105556767587	HSPA8/MLST8/HSP90AB1/MAPK3	4
BP	GO:0001666	response to hypoxia	6/59	359/18670	0.000925742212586487	0.0111184013429618	0.00719105556767587	ARNT/BECN1/RAF1/CDKN1B/P4HB/HIF1A	6
BP	GO:0042119	neutrophil activation	7/59	498/18670	0.00094732224853183	0.0113195342145997	0.00732114240406715	RAB24/NFKB1/HSPA8/GAA/LAMP1/ARSB/HSP90AB1	7
BP	GO:0002446	neutrophil mediated immunity	7/59	499/18670	0.000958454777573774	0.0113944217719684	0.00736957747757767	RAB24/NFKB1/HSPA8/GAA/LAMP1/ARSB/HSP90AB1	7
BP	GO:0035304	regulation of protein dephosphorylation	4/59	139/18670	0.000975009386589835	0.0115326867848151	0.00745900322861655	TSC1/IKBKB/FKBP1A/HSP90AB1	4
BP	GO:0051205	protein insertion into membrane	3/59	62/18670	0.000993070696492429	0.0115710028417177	0.0074837849293145	BAX/MAPK8/TP73	3
BP	GO:1902686	mitochondrial outer membrane permeabilization involved in programmed cell death	3/59	62/18670	0.000993070696492429	0.0115710028417177	0.0074837849293145	BAX/MAPK8/TP73	3
BP	GO:1904356	regulation of telomere maintenance via telomere lengthening	3/59	62/18670	0.000993070696492429	0.0115710028417177	0.0074837849293145	PARP1/MAP2K7/MAPK3	3
BP	GO:0032352	positive regulation of hormone metabolic process	2/59	15/18670	0.00100395587845301	0.0116399240957275	0.00752836117297491	ARNT/HIF1A	2
BP	GO:0062013	positive regulation of small molecule metabolic process	4/59	141/18670	0.00102816513067236	0.011780492152532	0.00761927646523152	ARNT/NFKB1/FOXO1/HIF1A	4
BP	GO:0031334	positive regulation of protein-containing complex assembly	5/59	244/18670	0.00103117032078099	0.011780492152532	0.00761927646523152	BAX/HDAC6/PARP1/CDKN1B/MAPK9	5
BP	GO:0051896	regulation of protein kinase B signaling	5/59	244/18670	0.00103117032078099	0.011780492152532	0.00761927646523152	ERBB2/TSC2/ITGB1/STK11/HSP90AB1	5
BP	GO:0032386	regulation of intracellular transport	6/59	370/18670	0.00108162953997044	0.0120887231943347	0.00781863125383057	CAPN10/ERBB2/MAPK8/TP73/LAMP1/MAPK3	6
BP	GO:0048813	dendrite morphogenesis	4/59	143/18670	0.00108332815001012	0.0120887231943347	0.00781863125383057	EEF2K/HDAC6/ITGB1/STK11	4
BP	GO:0097237	cellular response to toxic substance	5/59	247/18670	0.00108883430228448	0.0120887231943347	0.00781863125383057	BECN1/HDAC6/NFKB1/SPHK1/FOXO1	5
BP	GO:0006360	transcription by RNA polymerase I	3/59	64/18670	0.00108912066353741	0.0120887231943347	0.00781863125383057	ERBB2/ATF4/MAPK3	3
BP	GO:0035794	positive regulation of mitochondrial membrane permeability	3/59	64/18670	0.00108912066353741	0.0120887231943347	0.00781863125383057	BAX/MAPK8/TP73	3
BP	GO:2000378	negative regulation of reactive oxygen species metabolic process	3/59	64/18670	0.00108912066353741	0.0120887231943347	0.00781863125383057	BECN1/HDAC6/HIF1A	3
BP	GO:0051098	regulation of binding	6/59	373/18670	0.00112745937998404	0.012409152555645	0.00802587555736127	BAX/MAPK8/PARP1/FKBP1A/HSP90AB1/MAPK3	6
BP	GO:0045926	negative regulation of growth	5/59	249/18670	0.00112858646214875	0.012409152555645	0.00802587555736127	TP73/CDKN1B/STK11/HIF1A/PTK6	5
BP	GO:0042542	response to hydrogen peroxide	4/59	146/18670	0.00116992593546371	0.0128035819666168	0.00828098092047357	BECN1/HDAC6/SPHK1/FOXO1	4
BP	GO:1902108	regulation of mitochondrial membrane permeability involved in apoptotic process	3/59	66/18670	0.00119085227237794	0.0129119260273571	0.00835105467812798	BAX/MAPK8/TP73	3
BP	GO:1905710	positive regulation of membrane permeability	3/59	66/18670	0.00119085227237794	0.0129119260273571	0.00835105467812798	BAX/MAPK8/TP73	3
BP	GO:0043524	negative regulation of neuron apoptotic process	4/59	147/18670	0.00119983987573838	0.0129494239123469	0.00837530720925312	BAX/CLN3/HIF1A/HSP90AB1	4
BP	GO:0050678	regulation of epithelial cell proliferation	6/59	378/18670	0.00120714711457235	0.0129538615456723	0.00837817734020514	BAX/ARNT/ERBB2/CDKN1B/STK11/HIF1A	6
BP	GO:0031330	negative regulation of cellular catabolic process	5/59	253/18670	0.00121131327006927	0.0129538615456723	0.00837817734020514	BECN1/TSC1/TSC2/CHMP4B/HSP90AB1	5
BP	GO:0014065	phosphatidylinositol 3-kinase signaling	4/59	148/18670	0.0012302863497174	0.0130969574138097	0.00847072754661883	BECN1/ERBB2/TSC2/MAPK3	4
BP	GO:2000573	positive regulation of DNA biosynthetic process	3/59	67/18670	0.00124388807745971	0.0131818365493694	0.00852562487956429	MAP2K7/HSP90AB1/MAPK3	3
BP	GO:0010744	positive regulation of macrophage derived foam cell differentiation	2/59	17/18670	0.00129508872424432	0.0134550095796733	0.00870230517558087	NFKB1/MAPK9	2
BP	GO:0070242	thymocyte apoptotic process	2/59	17/18670	0.00129508872424432	0.0134550095796733	0.00870230517558087	BAX/HIF1A	2
BP	GO:1901524	regulation of mitophagy	2/59	17/18670	0.00129508872424432	0.0134550095796733	0.00870230517558087	HDAC6/TSC2	2
BP	GO:1904355	positive regulation of telomere capping	2/59	17/18670	0.00129508872424432	0.0134550095796733	0.00870230517558087	MAP2K7/MAPK3	2
BP	GO:0046323	glucose import	3/59	68/18670	0.0012983911891572	0.0134550095796733	0.00870230517558087	CAPN10/TSC1/PEA15	3
BP	GO:0031349	positive regulation of defense response	6/59	384/18670	0.00130840766007415	0.0134990781493113	0.00873080743263019	NFKB1/RAF1/IKBKB/LAMP1/TBK1/MAPK3	6
BP	GO:0000187	activation of MAPK activity	4/59	152/18670	0.00135749982082937	0.013944142896414	0.00901866224456816	TP73/MAP2K7/PEA15/MAPK3	4
BP	GO:0007004	telomere maintenance via telomerase	3/59	70/18670	0.00141186016462198	0.0144391987141689	0.00933884981333503	MAP2K7/HSP90AB1/MAPK3	3
BP	GO:0031293	membrane protein intracellular domain proteolysis	2/59	18/18670	0.00145401864564506	0.014741608952817	0.00953443987734447	NFKB1/MBTPS2	2
BP	GO:0035994	response to muscle stretch	2/59	18/18670	0.00145401864564506	0.014741608952817	0.00953443987734447	NFKB1/RAF1	2
BP	GO:0140014	mitotic nuclear division	5/59	264/18670	0.0014620124888442	0.0147587640037634	0.00954553526064791	BECN1/CDKN1B/CHMP4B/SPHK1/RAB11A	5
BP	GO:0072331	signal transduction by p53 class mediator	5/59	267/18670	0.00153657527666582	0.0154448896907784	0.00998930121130391	BAX/PRKAB1/TP73/CDKN1B/STK11	5
BP	GO:0052126	movement in host environment	4/59	158/18670	0.00156516405802203	0.0156650180508017	0.0101316737719015	CHMP4B/ITGB1/LAMP1/P4HB	4
BP	GO:0043491	protein kinase B signaling	5/59	269/18670	0.00158781847825712	0.0158241313875667	0.0102345836067726	ERBB2/TSC2/ITGB1/STK11/HSP90AB1	5
BP	GO:0030949	positive regulation of vascular endothelial growth factor receptor signaling pathway	2/59	19/18670	0.00162178313074062	0.0160262282371077	0.0103652939157706	ARNT/HIF1A	2
BP	GO:0051131	chaperone-mediated protein complex assembly	2/59	19/18670	0.00162178313074062	0.0160262282371077	0.0103652939157706	HDAC6/HSP90AB1	2
BP	GO:0051656	establishment of organelle localization	6/59	401/18670	0.00163090686450425	0.0160486717507099	0.0103798097214578	BECN1/CHMP4B/CLN3/LAMP1/HIF1A/RAB11A	6
BP	GO:0010970	transport along microtubule	4/59	161/18670	0.00167687369605934	0.0164319589797949	0.0106277086484448	HSPA8/CLN3/LAMP1/HIF1A	4
BP	GO:0000723	telomere maintenance	4/59	162/18670	0.00171531109637907	0.0166674554832976	0.0107800208730573	PARP1/MAP2K7/HSP90AB1/MAPK3	4
BP	GO:0010611	regulation of cardiac muscle hypertrophy	3/59	75/18670	0.00172225628819727	0.0166674554832976	0.0107800208730573	BECN1/PARP1/FOXO1	3
BP	GO:0051303	establishment of chromosome localization	3/59	75/18670	0.00172225628819727	0.0166674554832976	0.0107800208730573	BECN1/CHMP4B/RAB11A	3
BP	GO:0031214	biomineral tissue development	4/59	163/18670	0.00175435735153991	0.0168389545791249	0.0108909414532611	ATF4/FOXO1/HIF1A/NBR1	4
BP	GO:0110148	biomineralization	4/59	163/18670	0.00175435735153991	0.0168389545791249	0.0108909414532611	ATF4/FOXO1/HIF1A/NBR1	4
BP	GO:0046902	regulation of mitochondrial membrane permeability	3/59	76/18670	0.00178903199467701	0.016914381770761	0.0109397255463729	BAX/MAPK8/TP73	3
BP	GO:0050000	chromosome localization	3/59	76/18670	0.00178903199467701	0.016914381770761	0.0109397255463729	BECN1/CHMP4B/RAB11A	3
BP	GO:0007088	regulation of mitotic nuclear division	4/59	164/18670	0.00179401750868894	0.016914381770761	0.0109397255463729	BECN1/CDKN1B/CHMP4B/SPHK1	4
BP	GO:0098780	response to mitochondrial depolarisation	2/59	20/18670	0.00179832666990584	0.016914381770761	0.0109397255463729	BECN1/HDAC6	2
BP	GO:1903599	positive regulation of autophagy of mitochondrion	2/59	20/18670	0.00179832666990584	0.016914381770761	0.0109397255463729	HDAC6/HIF1A	2
BP	GO:0006278	RNA-dependent DNA biosynthetic process	3/59	77/18670	0.00185740590456281	0.0174001785139445	0.0112539246175406	MAP2K7/HSP90AB1/MAPK3	3
BP	GO:0010976	positive regulation of neuron projection development	5/59	281/18670	0.0019221576761016	0.0177714619853736	0.0114940598664896	EEF2K/STK11/ARSB/PTK6/RAB11A	5
BP	GO:0008306	associative learning	3/59	78/18670	0.0019273916926921	0.0177714619853736	0.0114940598664896	CLN3/ITGB1/HIF1A	3
BP	GO:0014743	regulation of muscle hypertrophy	3/59	78/18670	0.0019273916926921	0.0177714619853736	0.0114940598664896	BECN1/PARP1/FOXO1	3
BP	GO:0072332	intrinsic apoptotic signaling pathway by p53 class mediator	3/59	78/18670	0.0019273916926921	0.0177714619853736	0.0114940598664896	BAX/TP73/STK11	3
BP	GO:1990138	neuron projection extension	4/59	168/18670	0.00195889786062295	0.0179911325081528	0.0116361363113991	ITGB1/STK11/HSP90AB1/RAB11A	4
BP	GO:0046716	muscle cell cellular homeostasis	2/59	21/18670	0.00198359400579968	0.018146785787433	0.0117368082826716	GAA/HIF1A	2
BP	GO:0071260	cellular response to mechanical stimulus	3/59	79/18670	0.00199900286413797	0.0182046503448613	0.0117742333795925	MAPK8/NFKB1/MAPK3	3
BP	GO:0031647	regulation of protein stability	5/59	284/18670	0.0020132384454821	0.0182046503448613	0.0117742333795925	HDAC6/TSC1/HSPA8/LAMP1/HSP90AB1	5
BP	GO:0072593	reactive oxygen species metabolic process	5/59	284/18670	0.0020132384454821	0.0182046503448613	0.0117742333795925	BECN1/HDAC6/FOXO1/HIF1A/HSP90AB1	5
BP	GO:0007018	microtubule-based movement	5/59	285/18670	0.00204428990847572	0.0184143344832697	0.0119098509242776	HDAC6/HSPA8/CLN3/LAMP1/HIF1A	5
BP	GO:0032204	regulation of telomere maintenance	3/59	81/18670	0.00214715453502938	0.0190454741220783	0.0123180535132683	PARP1/MAP2K7/MAPK3	3
BP	GO:0010869	regulation of receptor biosynthetic process	2/59	22/18670	0.00217753013236866	0.0190454741220783	0.0123180535132683	HDAC6/HIF1A	2
BP	GO:0030878	thyroid gland development	2/59	22/18670	0.00217753013236866	0.0190454741220783	0.0123180535132683	RAF1/MAPK3	2
BP	GO:0031281	positive regulation of cyclase activity	2/59	22/18670	0.00217753013236866	0.0190454741220783	0.0123180535132683	MAPK8/MAPK3	2
BP	GO:0045943	positive regulation of transcription by RNA polymerase I	2/59	22/18670	0.00217753013236866	0.0190454741220783	0.0123180535132683	ERBB2/ATF4	2
BP	GO:0060575	intestinal epithelial cell differentiation	2/59	22/18670	0.00217753013236866	0.0190454741220783	0.0123180535132683	HIF1A/PTK6	2
BP	GO:1901522	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	2/59	22/18670	0.00217753013236866	0.0190454741220783	0.0123180535132683	ATF4/HIF1A	2
BP	GO:0001659	temperature homeostasis	4/59	173/18670	0.00217941377656575	0.0190454741220783	0.0123180535132683	PRKAB1/ATF4/STK11/FOXO1	4
BP	GO:0071158	positive regulation of cell cycle arrest	3/59	82/18670	0.00222372120564905	0.0193604277458367	0.0125217562705106	BAX/TP73/CDKN1B	3
BP	GO:0010921	regulation of phosphatase activity	4/59	175/18670	0.00227223304171047	0.0196367888696898	0.0127004985318368	TSC1/IKBKB/FKBP1A/HSP90AB1	4
BP	GO:0032200	telomere organization	4/59	175/18670	0.00227223304171047	0.0196367888696898	0.0127004985318368	PARP1/MAP2K7/HSP90AB1/MAPK3	4
BP	GO:0001933	negative regulation of protein phosphorylation	6/59	429/18670	0.00229021031132317	0.0196471521945746	0.0127072012261193	BAX/TSC2/CDKN1B/FOXO1/PTK6/MAPK8IP1	6
BP	GO:0062012	regulation of small molecule metabolic process	6/59	429/18670	0.00229021031132317	0.0196471521945746	0.0127072012261193	ARNT/NFKB1/PARP1/FOXO1/HIF1A/MBTPS2	6
BP	GO:0006970	response to osmotic stress	3/59	83/18670	0.00230196560410081	0.0196759249810369	0.0127258106196737	BAX/MAP2K7/HSP90AB1	3
BP	GO:0045821	positive regulation of glycolytic process	2/59	23/18670	0.00238008029385404	0.0202696292662043	0.0131098011209798	ARNT/HIF1A	2
BP	GO:0048732	gland development	6/59	434/18670	0.00242649858774557	0.0205157389620943	0.0132689776468397	BAX/RAF1/CDKN1B/STK11/HIF1A/MAPK3	6
BP	GO:0050673	epithelial cell proliferation	6/59	434/18670	0.00242649858774557	0.0205157389620943	0.0132689776468397	BAX/ARNT/ERBB2/CDKN1B/STK11/HIF1A	6
BP	GO:0072384	organelle transport along microtubule	3/59	85/18670	0.00246353811165101	0.020700237095695	0.0133883056230415	CLN3/LAMP1/HIF1A	3
BP	GO:0071347	cellular response to interleukin-1	4/59	179/18670	0.00246599750200636	0.020700237095695	0.0133883056230415	NFKB1/IKBKB/HIF1A/MAPK3	4
BP	GO:0030705	cytoskeleton-dependent intracellular transport	4/59	180/18670	0.00251616026532997	0.0210458833621529	0.0136118594804881	HSPA8/CLN3/LAMP1/HIF1A	4
BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	3/59	86/18670	0.00254689107723393	0.0210770985967557	0.0136320485777929	BAX/RAF1/PEA15	3
BP	GO:0042446	hormone biosynthetic process	3/59	86/18670	0.00254689107723393	0.0210770985967557	0.0136320485777929	ARNT/NFKB1/HIF1A	3
BP	GO:0090559	regulation of membrane permeability	3/59	86/18670	0.00254689107723393	0.0210770985967557	0.0136320485777929	BAX/MAPK8/TP73	3
BP	GO:0048015	phosphatidylinositol-mediated signaling	4/59	181/18670	0.00256702150274851	0.0211688885895669	0.0136914156503154	BECN1/ERBB2/TSC2/MAPK3	4
BP	GO:0051222	positive regulation of protein transport	6/59	440/18670	0.00259803595011348	0.0213494743690027	0.0138082132307047	CAPN10/ERBB2/MAPK8/TP73/HIF1A/MAPK3	6
BP	GO:0048017	inositol lipid-mediated signaling	4/59	184/18670	0.00272384489172347	0.0223050515259314	0.0144262524813768	BECN1/ERBB2/TSC2/MAPK3	4
BP	GO:0032461	positive regulation of protein oligomerization	2/59	25/18670	0.00281080494408032	0.022857309649431	0.0147834368221184	BAX/HDAC6	2
BP	GO:1900101	regulation of endoplasmic reticulum unfolded protein response	2/59	25/18670	0.00281080494408032	0.022857309649431	0.0147834368221184	BAX/ATF6	2
BP	GO:0009895	negative regulation of catabolic process	5/59	308/18670	0.00285971252381143	0.0231745561618214	0.0149886225524118	BECN1/TSC1/TSC2/CHMP4B/HSP90AB1	5
BP	GO:0099111	microtubule-based transport	4/59	187/18670	0.0028871298700549	0.0233160626057537	0.0150801447659129	HSPA8/CLN3/LAMP1/HIF1A	4
BP	GO:0051783	regulation of nuclear division	4/59	188/18670	0.00294301667937354	0.0236857218662984	0.0153192295229464	BECN1/CDKN1B/CHMP4B/SPHK1	4
BP	GO:0034612	response to tumor necrosis factor	5/59	312/18670	0.00302252652164898	0.0240440414386282	0.0155509801025601	NFKB1/IKBKB/MAP2K7/SPHK1/MAPK3	5
BP	GO:0032800	receptor biosynthetic process	2/59	26/18670	0.00303887116389152	0.0240440414386282	0.0155509801025601	HDAC6/HIF1A	2
BP	GO:1900739	regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	2/59	26/18670	0.00303887116389152	0.0240440414386282	0.0155509801025601	MAPK8/TP73	2
BP	GO:1900740	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	2/59	26/18670	0.00303887116389152	0.0240440414386282	0.0155509801025601	MAPK8/TP73	2
BP	GO:1904353	regulation of telomere capping	2/59	26/18670	0.00303887116389152	0.0240440414386282	0.0155509801025601	MAP2K7/MAPK3	2
BP	GO:1904951	positive regulation of establishment of protein localization	6/59	456/18670	0.00310023790124474	0.0244469938205898	0.0158115978730859	CAPN10/ERBB2/MAPK8/TP73/HIF1A/MAPK3	6
BP	GO:0071478	cellular response to radiation	4/59	191/18670	0.00311511985680297	0.0244819151162167	0.0158341839418562	BAX/PARP1/ATF4/STK11	4
BP	GO:0051235	maintenance of location	5/59	315/18670	0.00314897022492271	0.0246651781497291	0.0159527130915817	BAX/NFKB1/GAA/FKBP1A/GOPC	5
