ARGgene	lncRNA	cor	pvalue
MLST8	UNC5B-AS1	0.476280234676847	1.07772381826253e-09
SQSTM1	UNC5B-AS1	0.311556580979623	0.000122418950818347
STK11	UNC5B-AS1	0.328614535611716	4.83074197189795e-05
ATF4	AC011374.2	0.500352611397386	1.09627471711785e-10
ATG10	AC011374.2	0.361821095392399	6.70263458732778e-06
ATG2B	AC011374.2	-0.3393810095364	2.60912836410576e-05
ATG4B	AC011374.2	0.485566422421619	4.55726439004299e-10
ATG4D	AC011374.2	0.442573449238875	1.99175994305792e-08
BAX	AC011374.2	0.576057117343199	2.28050397742358e-14
BECN1	AC011374.2	-0.328987533189536	4.73054809798899e-05
BIRC6	AC011374.2	-0.373831579634739	3.10106125467617e-06
BNIP1	AC011374.2	0.454945630403395	7.08197344367837e-09
CAPN10	AC011374.2	0.406442052162235	3.25522980120404e-07
CAPNS1	AC011374.2	0.542318975381214	1.29678140697292e-12
CDKN2A	AC011374.2	0.391315156608814	9.54420572254655e-07
CHMP4B	AC011374.2	0.309374242976101	0.000137335710898135
CLN3	AC011374.2	0.420445011675844	1.14580295534727e-07
EIF4G1	AC011374.2	-0.318020087477699	8.66303627982517e-05
GAA	AC011374.2	0.337979017081797	2.83071458396162e-05
GNAI3	AC011374.2	-0.31726006972051	9.02624862429848e-05
HIF1A	AC011374.2	-0.422903730832964	9.49157396863462e-08
IFNG	AC011374.2	0.351273234661701	1.28614484674412e-05
ITGA6	AC011374.2	-0.365604341688218	5.27535914110403e-06
ITGB1	AC011374.2	-0.440816546530884	2.29916659032273e-08
KIF5B	AC011374.2	-0.349313261162292	1.44804197032417e-05
MAP1LC3A	AC011374.2	0.438614348780767	2.74919670210641e-08
MAPK1	AC011374.2	-0.348813716737551	1.49227951548484e-05
MTMR14	AC011374.2	0.353930847005277	1.09375979437821e-05
MTOR	AC011374.2	-0.312776981050562	0.000114750643924878
NCKAP1	AC011374.2	-0.432657807049166	4.43051064557813e-08
NKX2-3	AC011374.2	0.501135432832753	1.01467788724736e-10
PELP1	AC011374.2	0.406363923900583	3.27381598573621e-07
PEX14	AC011374.2	0.387745996885172	1.22075156539049e-06
RAB1A	AC011374.2	-0.317708670126407	8.81017798955921e-05
RAB24	AC011374.2	0.398340130513886	5.8299414132071e-07
RAC1	AC011374.2	0.346768436614587	1.68704883273883e-05
RB1	AC011374.2	-0.300215359492989	0.000220373471185119
RPTOR	AC011374.2	-0.336080941163204	3.15901648232504e-05
STK11	AC011374.2	0.365495075108883	5.31219570450837e-06
TP63	AC011374.2	-0.369407717192967	4.13398829134601e-06
TSC2	AC011374.2	0.318736266434892	8.33332140750741e-05
TUSC1	AC011374.2	0.30686426743166	0.000156580439404899
USP10	AC011374.2	-0.355286595098704	1.00642208361429e-05
WDFY3	AC011374.2	-0.369559444761544	4.09371221034094e-06
WDR45	AC011374.2	0.373190715293843	3.23379282563281e-06
ATG5	AC011451.1	0.34146502254259	2.3097125217187e-05
GOPC	AC011451.1	0.390249842177464	1.0274833586972e-06
IL24	AC011451.1	0.572388565641654	3.61921808681424e-14
ITGB1	AC011451.1	0.333503246912621	3.66247119273568e-05
MAP1LC3B	AC011451.1	0.420252972861217	1.16270450698673e-07
RAB33B	AC011451.1	0.348358119990966	1.53373426254444e-05
SPHK1	AC011451.1	0.378167708724547	2.32987153801566e-06
ATG10	AC073508.3	0.385869388275387	1.3877949538627e-06
BAX	AC073508.3	0.308708167660565	0.000142215567831223
BID	AC073508.3	0.306475741593071	0.000159774724820029
ERBB2	AC073508.3	0.371276661543707	3.66306515924686e-06
PRKAB1	AC073508.3	0.301909870103931	0.000202147790906246
ATF4	AC022509.2	0.352786830640049	1.17298030153841e-05
ATG4B	AC022509.2	0.502792906823154	8.60842852528424e-11
ATG4D	AC022509.2	0.445041587108455	1.62581628671743e-08
BAX	AC022509.2	0.318179809289956	8.58846375454173e-05
CAPN10	AC022509.2	0.412853867684473	2.03002157311314e-07
CAPNS1	AC022509.2	0.307859926019033	0.000148664037685641
CASP3	AC022509.2	0.337422278022578	2.92352380855363e-05
CDKN1B	AC022509.2	0.307877007547233	0.000148531536301215
CFLAR	AC022509.2	0.323342302873871	6.47765595372907e-05
CXCR4	AC022509.2	0.38111949521547	1.91324798331616e-06
FAS	AC022509.2	0.334794914901109	3.40145044034918e-05
IKBKE	AC022509.2	0.546332811140551	8.20890475672931e-13
MAP1LC3A	AC022509.2	0.341777944002121	2.26765244783853e-05
MAPK8	AC022509.2	0.326902509115254	5.31669720046874e-05
MTMR14	AC022509.2	0.371330459360515	3.65029417577653e-06
NKX2-3	AC022509.2	0.456950087780769	5.96621985186868e-09
PARP1	AC022509.2	0.394193724640489	7.80936544250929e-07
PRKAB1	AC022509.2	0.320766984085842	7.46110621070511e-05
RAB24	AC022509.2	0.32068484904942	7.49465932342898e-05
SQSTM1	AC022509.2	0.35576420397728	9.77256304701747e-06
TBK1	AC022509.2	0.380287729292476	2.02285880122873e-06
TP73	AC022509.2	0.398286643701834	5.85211444219402e-07
TSC2	AC022509.2	0.419715180157372	1.21131602395101e-07
AMBRA1	AC025183.1	-0.387472616147345	1.24383483602348e-06
BECN1	AC025183.1	-0.3212583427235	7.26329844892444e-05
BID	AC025183.1	0.350589022792204	1.34061482110331e-05
BIRC5	AC025183.1	0.473942657805807	1.33308018276828e-09
BIRC6	AC025183.1	-0.363556991549112	6.0074911477338e-06
BNIP1	AC025183.1	0.369133401818451	4.20776086522885e-06
CLN3	AC025183.1	0.450197163432072	1.05835366153945e-08
DDIT3	AC025183.1	0.305445004044767	0.000168545431959805
EEF2K	AC025183.1	-0.321829750829076	7.03944075332343e-05
EIF4EBP1	AC025183.1	0.340240527184727	2.48146432766328e-05
FOXO3	AC025183.1	-0.400307605747418	5.06780537966088e-07
GABARAPL2	AC025183.1	0.337196911547007	2.96190037586888e-05
NBR1	AC025183.1	-0.313650143410543	0.000109541910483087
NFKB1	AC025183.1	-0.323417564507794	6.45083015833167e-05
PELP1	AC025183.1	0.324936304737365	5.93123740275013e-05
PIK3C3	AC025183.1	-0.338344033518578	2.77137784384539e-05
PIK3R4	AC025183.1	-0.335855160384388	3.20036840300377e-05
PRKCD	AC025183.1	-0.30292748857369	0.000191886558974978
RAB5A	AC025183.1	-0.398781064983156	5.65018020476764e-07
RB1	AC025183.1	-0.334215959239529	3.51620617441307e-05
SIRT1	AC025183.1	-0.366789044673691	4.89119670860819e-06
WIPI2	AC025183.1	0.384318881648436	1.54200320064887e-06
FKBP1B	LINC00886	0.338168280804022	2.79980044179957e-05
ITGA6	LINC00886	0.352968327145999	1.16006040341647e-05
LAMP1	LINC00886	0.385962418529155	1.37902538568629e-06
USP10	LINC00886	0.312518253954371	0.000116337885845478
BNIP3	AL161431.1	0.312728777078581	0.000115044825635257
FAS	AL161431.1	-0.324813659958212	5.9716950621546e-05
ITGA3	AL161431.1	0.354459184716002	1.05890528896369e-05
LAMP1	AL161431.1	0.30401177283696	0.000181487533494044
NRG1	AL161431.1	0.307410691903628	0.000152188532017312
ATF4	RAD51-AS1	0.337817876250127	2.85728796177052e-05
ATG16L2	RAD51-AS1	0.677297518703992	4.55730233503458e-21
ATG3	RAD51-AS1	0.370466091332849	3.86069077810134e-06
ATG4B	RAD51-AS1	0.352685813546113	1.18022999214939e-05
ATG4D	RAD51-AS1	0.336972565349773	3.0005734212522e-05
CAPN10	RAD51-AS1	0.492910621037865	2.26490066759596e-10
CD46	RAD51-AS1	0.362825240942051	6.29176047799946e-06
CDKN1B	RAD51-AS1	0.439479634685543	2.56310906533517e-08
HDAC6	RAD51-AS1	0.433600640829049	4.11068496204114e-08
IKBKB	RAD51-AS1	0.432997487481535	4.31262761659131e-08
ITGA3	RAD51-AS1	-0.318483467252276	8.44834137889902e-05
MAPK8	RAD51-AS1	0.361566321421595	6.81085171513799e-06
MTMR14	RAD51-AS1	0.303795407070408	0.000183519793073382
RAB24	RAD51-AS1	0.427316187860933	6.74446544268468e-08
RAF1	RAD51-AS1	0.503402712048032	8.10133898949292e-11
TSC1	RAD51-AS1	0.481696229459596	6.54415199101946e-10
ULK2	RAD51-AS1	0.370063577545662	3.96254574341834e-06
ULK3	RAD51-AS1	0.64357557731999	1.47984426914747e-18
WDR45	RAD51-AS1	0.374616418210073	2.94555021012203e-06
ATG5	NRAV	0.437078881965353	3.11179760931512e-08
ATIC	NRAV	0.319545116005667	7.97506925302084e-05
BIRC5	NRAV	0.400002096314376	5.17956775200734e-07
EIF2S1	NRAV	0.326101706507863	5.55940816951983e-05
ERN1	NRAV	-0.367503790689742	4.67241274552448e-06
HSPA8	NRAV	0.302358228721954	0.000197565430683236
PEX3	NRAV	0.371625193635453	3.58107391402631e-06
PRKAB1	NRAV	0.310581471235025	0.000128886770083263
AMBRA1	AP000759.1	0.324434380342752	6.09845301220127e-05
ATF4	AP000759.1	-0.38495210729646	1.47715208969679e-06
ATG2A	AP000759.1	0.443082047816539	1.91040915541255e-08
ATG2B	AP000759.1	0.337167643605597	2.96691889144598e-05
BECN1	AP000759.1	0.362633460260282	6.36834297641072e-06
BIRC6	AP000759.1	0.322187449505018	6.90261162874254e-05
BNIP1	AP000759.1	-0.326481432378892	5.44305239816101e-05
CAPN1	AP000759.1	0.537311400874973	2.27484917123495e-12
CAPN2	AP000759.1	0.384593109254222	1.51359278785705e-06
GNAI3	AP000759.1	0.353690181779286	1.1099933054381e-05
ITGA3	AP000759.1	0.538184137681088	2.06396231518004e-12
ITGA6	AP000759.1	0.50141690636998	9.86800221586593e-11
ITGB1	AP000759.1	0.592572425126871	2.65040833223059e-15
ITGB4	AP000759.1	0.370288219372246	3.9053907042079e-06
LAMP2	AP000759.1	0.307677208491134	0.000150088283194512
MAPK1	AP000759.1	0.397604242587859	6.14215959543029e-07
MTOR	AP000759.1	0.48223177880179	6.22621361939471e-10
NCKAP1	AP000759.1	0.359544713451037	7.73009966641168e-06
PIK3R4	AP000759.1	0.303036997032398	0.000190811677261529
RB1	AP000759.1	0.366647207028438	4.93575237187142e-06
RELA	AP000759.1	0.473482360984814	1.38982188093682e-09
TM9SF1	AP000759.1	0.384646264891096	1.50814371010101e-06
USP10	AP000759.1	0.393612011358342	8.13370806450143e-07
WDFY3	AP000759.1	0.372464676445712	3.39067631840287e-06
ATF4	ATP2A1-AS1	0.30481002573816	0.000174169505980992
ATG16L2	ATP2A1-AS1	0.300100295647579	0.000221664814880334
BAX	ATP2A1-AS1	0.358395823694828	8.3035986653505e-06
BECN1	ATP2A1-AS1	-0.31922435171973	8.1153814126599e-05
BIRC5	ATP2A1-AS1	0.390654092471501	9.99152586662113e-07
BIRC6	ATP2A1-AS1	-0.332491022905053	3.88005211976568e-05
BNIP1	ATP2A1-AS1	0.378872227177842	2.22324170672039e-06
CDKN2A	ATP2A1-AS1	0.332485362615972	3.88130226332028e-05
CHMP4B	ATP2A1-AS1	0.420071055718663	1.17893522173439e-07
CLN3	ATP2A1-AS1	0.554544728902701	3.15997024754211e-13
ERN1	ATP2A1-AS1	-0.309373933138936	0.000137337944117996
MLST8	ATP2A1-AS1	0.349415768104132	1.43911874542314e-05
PELP1	ATP2A1-AS1	0.388576239080544	1.15312266437514e-06
PRKAR1A	ATP2A1-AS1	-0.333863992751487	3.58773785486488e-05
RAC1	ATP2A1-AS1	0.343263760218992	2.07760091720186e-05
STK11	ATP2A1-AS1	0.349444520186602	1.43662521187846e-05
WDFY3	ATP2A1-AS1	-0.341609921168362	2.29014604833233e-05
WDR45	ATP2A1-AS1	0.33323832605403	3.71828185452679e-05
ZFYVE1	ATP2A1-AS1	-0.305955109319858	0.000164150322703215
BECN1	AC147067.1	-0.362412808394779	6.45754614010985e-06
BIRC6	AC147067.1	-0.343857073293896	2.00598774572981e-05
BNIP1	AC147067.1	0.325661248867788	5.69729322236491e-05
CCL2	AC147067.1	0.318062709285319	8.64307758137054e-05
FOXO3	AC147067.1	-0.330597452342979	4.32004862157288e-05
GNAI3	AC147067.1	-0.396101392790955	6.83002628079181e-07
KIF5B	AC147067.1	-0.357246029621747	8.91768000413139e-06
NCKAP1	AC147067.1	-0.312838799533747	0.000114374402352394
PIK3R4	AC147067.1	-0.358336243037708	8.33441125514598e-06
RAB5A	AC147067.1	-0.339246326590137	2.62968437693568e-05
RAF1	AC147067.1	-0.331753295590035	4.04621536402044e-05
RB1	AC147067.1	-0.362968734258097	6.23503142223396e-06
RPS6KB1	AC147067.1	-0.329551722117298	4.58269509412473e-05
TP63	AC147067.1	-0.405175635381866	3.5693064009018e-07
WDR45	AC147067.1	0.374370308605674	2.99350031387048e-06
ARSB	LINC01614	0.339290547084763	2.62291846840944e-05
ATG12	LINC01614	0.39763248872379	6.1298866904664e-07
ATG5	LINC01614	0.432776235567865	4.38906438255482e-08
BID	LINC01614	0.379355885363007	2.15274176289152e-06
BIRC5	LINC01614	0.440008161719236	2.45546041887515e-08
CASP3	LINC01614	0.301930239181633	0.000201937488433063
DIRAS3	LINC01614	0.577798429846329	1.82786812258387e-14
DNAJB9	LINC01614	0.356739082723906	9.20185476430935e-06
MAP1LC3B	LINC01614	0.322927763195545	6.62729423824915e-05
RAB33B	LINC01614	0.313559605931315	0.000110071559746212
ST13	LINC01614	0.393837722940138	8.00636376175982e-07
ATF4	AL138724.1	0.464542645457236	3.08519805286636e-09
ATG10	AL138724.1	0.314700596133995	0.000103568185178819
ATG2B	AL138724.1	-0.327103839341871	5.25725949596986e-05
ATG4B	AL138724.1	0.331956785972536	3.99972654790462e-05
ATIC	AL138724.1	0.402944768704655	4.19420183019841e-07
BAX	AL138724.1	0.582615862294189	9.84311239238208e-15
BECN1	AL138724.1	-0.375365599193823	2.80403368699602e-06
BIRC5	AL138724.1	0.534267610364518	3.18685826396331e-12
BNIP1	AL138724.1	0.507815165009273	5.20246488941511e-11
CDKN2A	AL138724.1	0.302247843984779	0.000198684546734533
CHMP4B	AL138724.1	0.392385852211061	8.85991951132635e-07
CLN3	AL138724.1	0.43729325609544	3.05854783201972e-08
DDIT3	AL138724.1	0.319142575086184	8.15152059816031e-05
EIF4EBP1	AL138724.1	0.395540505024842	7.10509732286506e-07
ERN1	AL138724.1	-0.333312876958657	3.70249602204056e-05
FKBP1A	AL138724.1	0.315711957569525	9.81054521353492e-05
HSP90AB1	AL138724.1	0.322265086080721	6.87324435175984e-05
MLST8	AL138724.1	0.475384057145575	1.16948372454469e-09
NCKAP1	AL138724.1	-0.367300819134354	4.73358053975155e-06
NKX2-3	AL138724.1	0.389410946000172	1.08873538512495e-06
PELP1	AL138724.1	0.561881581031246	1.31688668065322e-13
PEX14	AL138724.1	0.311452022579179	0.000123097697346855
PINK1	AL138724.1	-0.408226234722073	2.85722194837998e-07
PTK6	AL138724.1	-0.302681673498087	0.000194319899613092
SAR1A	AL138724.1	0.349648496022302	1.41905205360396e-05
SPHK1	AL138724.1	0.345450850022109	1.82496052797939e-05
STK11	AL138724.1	0.319844649180139	7.84609621074571e-05
TUSC1	AL138724.1	0.3346508121065	3.42967961166078e-05
WDFY3	AL138724.1	-0.364485561118106	5.66424999653541e-06
ARSB	TTTY15	0.309895010772106	0.000133629633994451
CASP3	TTTY15	0.412448068856471	2.09221952978357e-07
EIF2AK3	TTTY15	0.401546607909664	4.63769712004762e-07
MAPK9	TTTY15	0.303903638236164	0.000182500578099399
BCL2	AL049870.3	0.371532997207937	3.60259185975986e-06
CAMKK2	AL049870.3	0.399616934827018	5.32382256485564e-07
DRAM1	AL049870.3	0.478053326312898	9.16209068446438e-10
MAPK8IP1	AL049870.3	0.309809649247036	0.000134230655070382
TP73	AL049870.3	0.456675801087809	6.10823771854319e-09
TSC2	AL049870.3	0.498493500402707	1.31629934275759e-10
EEF2K	LYRM4-AS1	0.37578591540955	2.72749016060535e-06
EIF2S1	LYRM4-AS1	0.353114880691075	1.14972614380882e-05
NCKAP1	LYRM4-AS1	0.358292318422403	8.3571964206095e-06
NFE2L2	LYRM4-AS1	0.399098311477671	5.524128508039e-07
PIK3R4	LYRM4-AS1	0.339430090114025	2.60167509787591e-05
RAB33B	LYRM4-AS1	0.309038504650426	0.000139775574969725
RB1CC1	LYRM4-AS1	0.300087245903367	0.000221811713133036
SIRT1	LYRM4-AS1	0.319458980580599	8.01252298660553e-05
USP10	LYRM4-AS1	0.348895138057204	1.4849832486809e-05
UVRAG	LYRM4-AS1	0.352904587857752	1.16458231829698e-05
WIPI2	LYRM4-AS1	0.341189638678394	2.34733379695693e-05
FOXO1	BX322234.1	0.362610467427039	6.37758357350715e-06
ITPR1	BX322234.1	0.323788796868087	6.32002603372714e-05
MAPK8IP1	BX322234.1	0.366125682031505	5.10290942954038e-06
SPHK1	BX322234.1	0.349277270248949	1.45118734280583e-05
WIPI1	BX322234.1	0.389456618626438	1.0853129822298e-06
WIPI2	BX322234.1	0.356795885061833	9.16959278490708e-06
ATG16L2	AC004812.2	0.413297678828903	1.96402277500092e-07
ATG3	AC004812.2	0.313600144999252	0.0001098341090582
CHMP4B	AC004812.2	0.318721637451197	8.33993726054908e-05
GABARAPL2	AC004812.2	0.375172347195457	2.83990714870269e-06
KLHL24	AC004812.2	0.312216772521989	0.000118213257682263
MAP1LC3B	AC004812.2	0.350014204189023	1.388051955541e-05
NFE2L2	AC004812.2	0.443879979667806	1.78917619401088e-08
PEX3	AC004812.2	0.333994004840547	3.56115714894546e-05
BECN1	AL121899.1	-0.316950760512935	9.17810317091501e-05
CALCOCO2	AL121899.1	-0.323052793245733	6.58182404664256e-05
CANX	AL121899.1	-0.300618223393304	0.000215907059579165
CLN3	AL121899.1	0.522135264690029	1.18205623616056e-11
CTSD	AL121899.1	0.329610379990823	4.56757445122481e-05
EIF4EBP1	AL121899.1	0.300872975784812	0.000213126274280612
MTOR	AL121899.1	-0.324309907569378	6.14059913733558e-05
PELP1	AL121899.1	0.357017144166744	9.04494115123614e-06
RB1	AL121899.1	-0.300012432672488	0.000222655616942459
ATF4	AC084824.5	0.60214921859841	7.18512715479672e-16
ATG10	AC084824.5	0.394580669603492	7.60048682204021e-07
ATG16L2	AC084824.5	0.429811145493872	5.54753970454883e-08
ATG4B	AC084824.5	0.637812293498476	3.70211247292636e-18
ATG4D	AC084824.5	0.521644342279735	1.24509159994072e-11
BAX	AC084824.5	0.562930402534115	1.15995503830344e-13
BCL2	AC084824.5	0.311216326025128	0.000124640631670483
BNIP1	AC084824.5	0.443059750848994	1.91390766541069e-08
CAPN10	AC084824.5	0.583240172612657	9.07761065188008e-15
CAPNS1	AC084824.5	0.370304819432918	3.90119836572374e-06
CDKN1B	AC084824.5	0.429535170196703	5.66916785491251e-08
CDKN2A	AC084824.5	0.320705396393842	7.48625227715665e-05
CHMP4B	AC084824.5	0.425037920209492	8.05063325830546e-08
CLN3	AC084824.5	0.433683935931915	4.08352017061435e-08
DDIT3	AC084824.5	0.358324473616161	8.34051067810197e-06
EIF4G1	AC084824.5	-0.343669009174795	2.02843145386062e-05
HIF1A	AC084824.5	-0.381323184373706	1.88727950453403e-06
IKBKE	AC084824.5	0.374420188730303	2.98372257682119e-06
ITGA3	AC084824.5	-0.341534553675464	2.30030377986837e-05
ITGA6	AC084824.5	-0.373036662690473	3.26649364507594e-06
ITGB1	AC084824.5	-0.361136352201006	6.99724410252414e-06
MAP1LC3A	AC084824.5	0.474139890235038	1.30945678446456e-09
MLST8	AC084824.5	0.317019973954712	9.1439170829485e-05
MTMR14	AC084824.5	0.310774850349335	0.000127579303523231
NCKAP1	AC084824.5	-0.30514400488636	0.00017119000154334
NKX2-3	AC084824.5	0.508897043684476	4.66258172878574e-11
PELP1	AC084824.5	0.36044483612622	7.30717847217193e-06
PRKAB1	AC084824.5	0.379955279077563	2.0683175946391e-06
RAB24	AC084824.5	0.45304475362959	8.32376381621785e-09
RAC1	AC084824.5	0.408913674838959	2.71664984685731e-07
RPTOR	AC084824.5	-0.323540389226389	6.407274625007e-05
SQSTM1	AC084824.5	0.3122736511128	0.000117857298226923
STK11	AC084824.5	0.346965901372241	1.66724742244392e-05
TP73	AC084824.5	0.389629830713287	1.07242649020105e-06
TSC2	AC084824.5	0.385523904115793	1.42082903534874e-06
ULK3	AC084824.5	0.328059293279153	4.98358383504034e-05
WDR45	AC084824.5	0.339224999012706	2.63295344754043e-05
ATG5	GSEC	0.407365562643219	3.04303211436886e-07
ATIC	GSEC	0.355438356115406	9.97066601237015e-06
BID	GSEC	0.346527482435807	1.71151173044295e-05
BIRC5	GSEC	0.378872204012114	2.22324513540158e-06
BNIP1	GSEC	0.339663467531135	2.56650827813e-05
FKBP1B	GSEC	0.448195774008787	1.25133770156722e-08
FOXO3	GSEC	-0.309001198199806	0.000140049166850959
GABARAPL2	GSEC	0.310665923963991	0.000128314242433339
HSPA8	GSEC	0.313551073449866	0.000110121598313881
IL24	GSEC	0.394639596336687	7.56914838497371e-07
MLST8	GSEC	0.344364302147954	1.94661565221699e-05
RAB5A	GSEC	-0.345277430915215	1.84388431378831e-05
TP53INP2	GSEC	-0.343197057189991	2.08580093907656e-05
ATF4	AP001160.3	0.376818909409522	2.54771401592294e-06
ATG3	AP001160.3	0.35768491095951	8.67838153218626e-06
ATG4B	AP001160.3	0.368323483536382	4.43292767723286e-06
BAX	AP001160.3	0.534448472787708	3.12394881426139e-12
CAPN10	AP001160.3	0.302411286121696	0.000197029605813244
CHMP4B	AP001160.3	0.486046385606271	4.35590494693454e-10
EIF4EBP1	AP001160.3	0.301649865256709	0.000204850183107193
GAA	AP001160.3	0.319073163032628	8.18231360921359e-05
ITGA3	AP001160.3	-0.307458317622033	0.000151811226114355
ITGB1	AP001160.3	-0.399880849613138	5.22457122271333e-07
MLST8	AP001160.3	0.415780466815744	1.6310346020539e-07
PELP1	AP001160.3	0.367600824281564	4.64343597670744e-06
STK11	AP001160.3	0.388217803444252	1.18187011529801e-06
WDR45	AP001160.3	0.42577729329455	7.60223333775234e-08
WIPI2	AP001160.3	0.379488890674876	2.13373002843282e-06
ATF4	DLGAP1-AS1	0.320313987377878	7.64792630717781e-05
ATG10	DLGAP1-AS1	0.301759886530437	0.000203702590874623
ATG16L2	DLGAP1-AS1	0.380301920737992	2.02093957492577e-06
ATG3	DLGAP1-AS1	0.310213066331671	0.000131412260449833
GABARAPL2	DLGAP1-AS1	0.365207658674838	5.41025824792521e-06
GNAI3	DLGAP1-AS1	-0.329400784047757	4.62181966628562e-05
PELP1	DLGAP1-AS1	0.392716879320469	8.65799774228429e-07
ST13	DLGAP1-AS1	0.300383369204808	0.000218500472595773
WDR45	DLGAP1-AS1	0.307472324803276	0.000151700422763325
ATG16L2	AC005840.2	0.30382157138343	0.000183272919058759
BCL2	AC005840.2	0.367000367781664	4.82551990116544e-06
GAPDH	AC005840.2	0.646590157673208	9.08885058692552e-19
HDAC1	AC005840.2	0.324561647085892	6.05564118347255e-05
HDAC6	AC005840.2	0.314069845401845	0.000107117565051781
IKBKE	AC005840.2	0.351848798889492	1.24194926855888e-05
TBK1	AC005840.2	0.35798609335015	8.51769038684605e-06
ATF4	AC006504.5	0.368618717895037	4.34955741746009e-06
ATG4B	AC006504.5	0.332425681518119	3.89450660217198e-05
BID	AC006504.5	0.335587550618347	3.25004035620071e-05
BIRC5	AC006504.5	0.449056023491589	1.16456782689613e-08
CLN3	AC006504.5	0.322459653571134	6.80015922025291e-05
MLST8	AC006504.5	0.321330903149726	7.23450698119588e-05
PRKAB1	AC006504.5	0.314829093229015	0.000102858703497126
RAB33B	AC006504.5	0.321413909392894	7.20170169570879e-05
ATF6	NNT-AS1	0.443598912666473	1.83101125119012e-08
ATG2B	NNT-AS1	0.367429329805768	4.69476485314795e-06
BIRC6	NNT-AS1	0.303317724858566	0.000188081713341887
CD46	NNT-AS1	0.487521983497494	3.78922398491155e-10
DNAJB9	NNT-AS1	0.312154560888184	0.000118603741114017
EIF2AK3	NNT-AS1	0.347674183472503	1.59801038390722e-05
FOXO1	NNT-AS1	0.339477433555699	2.5945046193349e-05
GABARAPL2	NNT-AS1	0.310408904517677	0.000130064061189862
KLHL24	NNT-AS1	0.539787361517273	1.72492230284578e-12
MAP1LC3B	NNT-AS1	0.366596340903344	4.95182451780499e-06
MBTPS2	NNT-AS1	0.486152507597354	4.31255787315302e-10
NAF1	NNT-AS1	0.324270465939561	6.15401079255635e-05
NBR1	NNT-AS1	0.512904386822654	3.09681073763833e-11
NCKAP1	NNT-AS1	0.388849431052298	1.13166036996725e-06
NFE2L2	NNT-AS1	0.532405769336064	3.91021486244608e-12
PRKAR1A	NNT-AS1	0.443099484942215	1.90767746192255e-08
RAB33B	NNT-AS1	0.532165595642656	4.01440372782603e-12
SIRT1	NNT-AS1	0.533334329151853	3.53152428656436e-12
ULK2	NNT-AS1	0.31500667697738	0.000101885664885423
UVRAG	NNT-AS1	0.306644899777337	0.000158376595323405
WDFY3	NNT-AS1	0.381603947463552	1.8520336211938e-06
CAPN1	AC002401.4	0.391251607360734	9.58636421335743e-07
CDKN1B	AC002401.4	-0.348611918063118	1.51050902432386e-05
ITGA3	AC002401.4	0.642184179374564	1.84984725745904e-18
ITGA6	AC002401.4	0.337749652369587	2.86860916837888e-05
ITGB4	AC002401.4	0.35443719327967	1.06033488786291e-05
ATG16L2	ANKRD10-IT1	0.409783928043695	2.54815743239374e-07
ATG2B	ANKRD10-IT1	0.325168633872121	5.85530061209676e-05
CD46	ANKRD10-IT1	0.345615016086928	1.80721526794561e-05
EIF2AK3	ANKRD10-IT1	0.319316895638006	8.07466466833325e-05
ERN1	ANKRD10-IT1	0.328806522393576	4.77892482641915e-05
IKBKB	ANKRD10-IT1	0.380130975479285	2.04417348966096e-06
MAPK8	ANKRD10-IT1	0.356252922175139	9.48240268249862e-06
PIK3C3	ANKRD10-IT1	0.327850541979352	5.04221126243893e-05
RAF1	ANKRD10-IT1	0.339511633389244	2.5893364026793e-05
RB1CC1	ANKRD10-IT1	0.307956717235072	0.000147914681802219
TSC1	ANKRD10-IT1	0.432823831512099	4.37251229810323e-08
ULK2	ANKRD10-IT1	0.309632152008881	0.000135488471019692
ARNT	OIP5-AS1	0.591326355114179	3.13111148031856e-15
ARSB	OIP5-AS1	0.31227675282611	0.000117837915771057
ATF6	OIP5-AS1	0.335701358977175	3.22882807825632e-05
ATG4C	OIP5-AS1	0.340806580872131	2.40062520571166e-05
ATG7	OIP5-AS1	0.401503426142395	4.65208265453307e-07
BCL2	OIP5-AS1	0.46461354307946	3.06602340224929e-09
BIRC6	OIP5-AS1	0.471465430511893	1.66712077916253e-09
CAMKK2	OIP5-AS1	0.36615384468051	5.09374750635413e-06
CASP3	OIP5-AS1	0.428704681260232	6.05080097502834e-08
CASP4	OIP5-AS1	-0.301462725548952	0.000206815984268817
CD46	OIP5-AS1	0.426246626635197	7.33012768176168e-08
CDKN1B	OIP5-AS1	0.540246687751206	1.63819596238755e-12
CXCR4	OIP5-AS1	0.397734320968058	6.08583460082015e-07
EDEM1	OIP5-AS1	0.321855781592129	7.02939826523992e-05
EEF2K	OIP5-AS1	0.455237454462565	6.90787387615503e-09
EIF2AK3	OIP5-AS1	0.448209907105342	1.24986319809786e-08
ERBB2	OIP5-AS1	0.356151547108527	9.54191301129605e-06
FAS	OIP5-AS1	0.3293256276921	4.64141758712772e-05
FOXO3	OIP5-AS1	0.396135765900272	6.81350349056412e-07
HDAC6	OIP5-AS1	0.438314048643174	2.81675995140906e-08
IKBKB	OIP5-AS1	0.332155839578542	3.95473703252567e-05
IKBKE	OIP5-AS1	0.329430042581324	4.61421117295101e-05
ITGA3	OIP5-AS1	-0.315982953099089	9.66881166962199e-05
ITPR1	OIP5-AS1	0.471413087618917	1.67498392173477e-09
KIF5B	OIP5-AS1	0.371533977245657	3.60236248272547e-06
KLHL24	OIP5-AS1	0.482102616928788	6.30149974429913e-10
